label,content
fear,"Driven by fear and horror, she flew homeward; she was almost sinking fainting to the earth, while the flock of pursuing birds increased, some even attempting to peck at her."
joy,The roses nodded; they recognized their grey neighbours and were pleased to see them again.
joy,"The books travelled all over the world, and some of them came into the hands of the emperor; and he sat in his golden chair, and, as he read, he nodded his approval every moment, for it pleased him to find such a beautiful description of his city, his palace, and his gardens."
joy,"Then the tears come into my eyes, and it is just as if my mother kissed me."""
joy,"""With the greatest pleasure,"" said the nightingale, and began to sing most delightfully."
joy,"The nightingale sang so sweetly that the tears came into the emperor's eyes, and then rolled down his cheeks, as her song became still more touching and went to every one's heart."
joy,"The emperor was so delighted that he declared the nightingale should have his gold slipper to wear round her neck, but she declined the honor with thanks: she had been sufficiently rewarded already."
joy,"So a year passed, and the emperor, the court, and all the other Chinese knew every little turn in the artificial bird's song; and for that same reason it pleased them better."
sadness,"Now there was great sorrow, as the bird could only be allowed to play once a year; and even that was dangerous for the works inside it."
sadness,"Cold and pale lay the emperor in his royal bed; the whole court thought he was dead, and every one ran away to pay homage to his successor."
joy,These are the jewels that rejoice a singer's heart.
joy,"I will sit on a bough outside your window, in the evening, and sing to you, so that you may be happy, and have thoughts full of joy."
surprise,"The servants now came in to look after the dead emperor; when, lo! there he stood, and, to their astonishment, said, ""Good morning."""
joy,"She said this merrily, for she was the best of the hens, and, moreover, as had been said, very respectable."
joy,"""'Could I but have my love, Who then so happy as Glove!"
sadness,"And so it was with Anthony; often the scalding tears, like pearly drops, would fall from his eyes to the coverlet and roll on the floor with a sound as if one of his heartstrings had broken."
sadness,"If he dried his eyes with his nightcap, then the tear and the picture would be crushed; but the source of the tears remained and welled up again in his heart."
joy,"Then they got a flower-pot, filled it with earth, and were soon both very busy and eager about it."
sadness,"And Molly and Anthony both wept, but these tears all flowed together into one tear which had the rosy shimmer of joy."
joy,One stanza pleased him exceedingly-
sadness,"Sorrow and suffering deprived Anthony's father of his strength, so that he had something else to think of besides nursing his love-sorrows and his anger against Molly."
sadness,How much came back to his remembrance as he looked through the tears once more on his native town!
sadness,"There lay the old bachelor, forsaken by all, and unable to help himself."
joy,"The fragrant leaves of the tree fell upon him and cooled his burning brow; upon his parched lips they seemed like refreshing bread and wine; and as they rested on his breast, a peaceful calm stole over him, and he felt inclined to sleep."
joy,"In that solemn hour the sweet and joyous chiming filled the hearts of those in the humble dwelling with thankfulness and trust; and when, amidst these joyous sounds, a little son was born to them, the words of prayer and praise arose from their overflowing hearts, and their happiness seemed to ring out over town and country in the liquid tones of the church bells' chime."
joy,"Its parents kissed it lovingly, and the father wrote these words in the Bible, ""On the tenth of November, 1759, God sent us a son."""
sadness,"He and his sister, two years older than himself, had often wept scalding tears over the story of Him who suffered death on the cross for us all."
joy,"His mother also told him how the chiming of that old bell had once filled her heart with joy and confidence, and that in the midst of the sweet tones her child had been given to her."
sadness,"A record of this bright display will live in the memory of man, for through it the pupil in the military school was in tears and sorrow."
sadness,"Dark days and cold nights also passed over the old bell, and it noticed them not; but the bell in the man's heart felt it to be a gloomy time."
sadness,"The corpse lay in a bedroom, near to the one in which we sat, and the old man was in great distress and weeping like a child."
sadness,"He spoke to my father, and to a few neighbors who were there, of how lonely he should feel now she was gone, and how good and true she, his dead wife, had been during the number of years that they had passed through life together, and how they had become acquainted, and learnt to love each other."
joy,"And then he talked of his wedding-day; and his eyes brightened, and he seemed to be carried back, by his words, to that joyful time."
joy,"And the old attendant nodded and looked very pleased, and then he carried the tin soldier into the house."
joy,"""Oh,"" replied the old man, ""I have pleasant thoughts of all that has passed, recalled by memory; and now you are come to visit me, and that is very pleasant."""
sadness,"""I cannot endure it,"" said the tin soldier, who stood on a shelf, ""it is so lonely and dull here."
joy,"Then the old man came back with a pleasant face; and brought with him beautiful preserved fruits, as well as apples and nuts; and the little boy thought no more of the tin soldier."
joy,"How happy and delighted the little boy was; and after he returned home, and while days and weeks passed, a great deal of nodding took place from one house to the other, and then the little boy went to pay another visit."
sadness,"""I cannot bear it any longer,"" said the tin soldier; ""I have wept tears of tin, it is so melancholy here."
joy,"Then he looked at the picture he had bought at the broker's, and his eyes sparkled brightly as he nodded at it, and said, ""Ah, she could sing that tune."""
joy,"The sparrows assembled in dozens upon the wild vines, and chattered all together as loud as they could, but not about the old house; none of them could remember it, for many years had passed by, so many indeed, that the little boy was now a man, and a really good man too, and his parents were very proud of him."
joy,"""Let me see him,"" said the young man, and then he smiled and shook his head, and said, ""It can scarcely be the same, but it reminds me of something that happened to one of my tin soldiers when I was a little boy."""
joy,"""Yes, terribly lonely,"" cried the tin soldier; ""still it is delightful not to be forgotten."""
sadness,"He bent his head mournfully, and sighed in deep sorrow, as an unquiet spirit might sigh."
sadness,"Song doth not carry them forth over the lands, nor into the hearts of men; therefore I have no rest and no peace."""
joy,Then the face of the dead one gleamed like the margin of the cloud in the moonlight.
joy,How sweetly they sing there; it is quite a pleasure to listen to them!
sadness,"""We shall never have another singing-bird again amongst us; he was almost a Chinese,"" they whispered, and then they wept with such a noisy, clucking sound, that all the other fowls clucked too, but the ducks went about with redder eyes afterwards."
fear,"She was frightened, and wanted to throw the red shoes away; but they stuck fast."
fear,"""Mercy!"" cried Karen."
fear,"And she went quickly up to the church-door; but when she came there, the red shoes were dancing before her, and she was frightened, and turned back."
sadness,"During the whole week she was sad and wept many bitter tears, but when Sunday came again she said: ""Now I have suffered and striven enough."
fear,"Then she became terrified, and turned back and repented right heartily of her sin."
sadness,"On the following Sunday they all went to church, and she was asked whether she wished to go too; but, with tears in her eyes, she looked sadly at her crutches."
sadness,"Here she sat down with her hymn-book, and as she was reading it with a pious mind, the wind carried the notes of the organ over to her from the church, and in tears she lifted up her face and said: ""O God! help me!"""
joy,"""Summer cannot show a more beautiful sight,"" she exclaimed, while her eyes sparkled."
joy,"The girl laughed, and nodded at the Snow Man, and then tripped away over the snow with her friend."
fear,"""But we are very much frightened,"" said the young storks, and they drew back their heads into the nests."
surprise,"""Oh, o- h!"" cried the young storks."
joy,"The emperor ordered them to be carried into the great hall where the princess was just playing ""Visitors are coming"" with her ladies-in-waiting; when she saw the large cases with the presents therein, she clapped her hands for joy."
sadness,"""You are right,"" said the emperor, and began to cry like a little child."
joy,"When the princess with her ladies passed by and heard the tune, she stopped and looked quite pleased, for she also could play it- in fact, it was the only tune she could play, and she played it with one finger."
joy,That was a pleasure!
joy,The ladies danced and clapped their hands for joy.
sadness,"There she stood and cried, the swineherd scolded her, and the rain came down in torrents."
sadness,"Oh, how wretched I am!"""
joy,She was glad that in her ugliness she had frightened the fowls.
joy,"Yes, I shall get to Egypt, for I feel so happy!"
sadness,"Far in the interior of the wood, where a noisy swarm of laborers were working, stood Waldemar Daa and his three daughters, and all were laughing at the wild cries of the birds, excepting one, the youngest, Anna Dorothea, who felt grieved to the heart; and when they made preparations to fell a tree that was almost dead, and on whose naked branches the black stork had built her nest, she saw the poor little things stretching out their necks, and she begged for mercy for them, with the tears in her eyes."
sadness,"Ida and Anna Dorothea wept bitterly, Joanna stood, pale and proud, biting her lips till the blood came; but what could that avail?"
sadness,I suppose he is under the ground now; and Ida- alas! alas! it is not ended yet; miserable that I am!
joy,"However, he passed a very pleasant time; went to the theatre, drove in the king's garden, and gave a great deal of money to the poor, which was very good of him; he remembered what it had been in olden times to be without a shilling."
joy,"Now he was rich, had fine clothes, and many friends, who all declared he was a fine fellow and a real gentleman, and all this gratified him exceedingly."
surprise,"""And here is one, and there is another!"" they all exclaimed; for there were crosses on all the doors in every direction."
joy,"The shoemaker's boy liked the idea of getting the four shillings, so he ran very fast and fetched the tinder-box, and gave it to the soldier."
joy,"The princess came out of the copper castle, and became queen, which was very pleasing to her."
joy,"It touched the tin soldier so much to see her that he almost wept tin tears, but he kept them back."
sadness,"""I know very well where she is,"" sighed the top; ""she is in the swallow's nest, and has married the swallow."""
surprise,"""Ah,"" she exclaimed, ""here is a gilt top."""
surprise,"The duck stared at it and exclaimed, ""It is very large and not at all like the others."
sadness,"""He is too big,"" they all said, and the turkey cock, who had been born into the world with spurs, and fancied himself really an emperor, puffed himself out like a vessel in full sail, and flew at the duckling, and became quite red in the head with passion, so that the poor little thing did not know where to go, and was quite miserable because he was so ugly and laughed at by the whole farmyard."
sadness,"Here he remained the whole night, feeling very tired and sorrowful."
fear,How they terrified the poor duckling!
joy,"She laid good eggs, and her mistress loved her as if she had been her own child."
sadness,"So the duckling sat in a corner, feeling very low spirited, till the sunshine and the fresh air came into the room through the open door, and then he began to feel such a great longing for a swim on the water, that he could not help telling the hen."
sadness,All this was very sad for the poor little duckling.
surprise,The duckling had never seen any like them before.
joy,"Could he ever forget those beautiful, happy birds; and when at last they were out of his sight, he dived under the water, and rose again almost beside himself with excitement."
fear,"The warmth revived the poor little creature; but when the children wanted to play with him, the duckling thought they would do him some harm; so he started up in terror, fluttered into the milk-pan, and splashed the milk about the room."
fear,"Then the woman clapped her hands, which frightened him still more."
sadness,"The duckling remembered the lovely birds, and felt more strangely unhappy than ever."
joy,"He now felt glad at having suffered sorrow and trouble, because it enabled him to enjoy so much better all the pleasure and happiness around him; for the great swans swam round the new-comer, and stroked his neck with their beaks, as a welcome."
joy,"""See,"" cried the youngest, ""there is a new one;"" and the rest were delighted, and ran to their father and mother, dancing and clapping their hands, and shouting joyously, ""There is another swan come; a new one has arrived."""
joy,"Then he rustled his feathers, curved his slender neck, and cried joyfully, from the depths of his heart, ""I never dreamed of such happiness as this, while I was an ugly duckling."""
surprise,"He looked around on every side and exclaimed, ""Oh, heavens, where am I?"""
sadness,"Then he got up and clambered out of the cave, went into the forest, and thought, ""Here I am quite alone and deserted, how shall I obtain a horse now?"""
sadness,"""Alas, thou canst not help me."""
joy,"They leapt nimbly upstairs and downstairs, and were merry and happy."
joy,"Then she opened the door of the small house, and when she had opened it, there stood twelve horses, such horses, so bright and shining, that his heart rejoiced at the sight of them."
joy,"In the morning when he awoke, the three days had passed, and a coach came with six horses and they shone so bright that it was delightful to see them! and a servant brought a seventh as well, which was for the poor miller""s boy."
surprise,"So she ordered the servant to bring the seventh horse, and when the miller saw it, he said that such a horse as that had never yet entered his yard."
joy,"The little tailor did not let himself be frightened away, but was quite delighted, and said, ""Boldly ventured is half won."""
joy,"When the bear heard the music, he could not help beginning to dance, and when he had danced a while, the thing pleased him so well that he said to the little tailor, ""Hark you, is the fiddle heavy?"""
fear,"The princess heard him snorting and growling; she was terrified, and she cried, ""Ah, the bear is behind us and wants to get thee!"""
joy,"The tailor drove quietly to church, and the princess was married to him at once, and he lived with her as happy as a woodlark."
sadness,"They walked the whole day over meadows, fields, and stony places; and when it rained the little sister said, ""Heaven and our hearts are weeping together."""
sadness,"In the evening they came to a large forest, and they were so weary with sorrow and hunger and the long walk, that they lay down in a hollow tree and fell asleep."
sadness,"And now the sister wept over her poor bewitched brother, and the little roe wept also, and sat sorrowfully near to her."
fear,"The little sister, however, was dreadfully frightened when she saw that her fawn was hurt."
fear,"The maiden was frightened when she saw, not her little roe, but a man come in who wore a golden crown upon his head."
surprise,"The King said, ""Ah, heavens! what is this?"
surprise,"""Good heavens!"" said the girl, ""no strawberries grow in winter!"
joy,"In her joy she hastily gathered her basket full, thanked the little men, shook hands with each of them, and ran home to take her step-mother what she had longed for so much."
joy,"""Ah, yes, with all my heart,"" she answered, for she was glad to get away from the mother and sister."
joy,"Thereupon the King was full of great joy, but he kept the Queen hidden in a chamber until the Sunday, when the baby was to be christened."
sadness,"Night fell, and nothing was left for him to do, but to seek a bed in this painful solitude."
fear,"He might certainly have found a good bed on the soft moss, but the fear of wild beasts let him have no rest there, and at last he was forced to make up his mind to spend the night in a tree."
surprise,"The tailor, who had watched the fight with astonishment, was still standing there motionless, when the stag in full career bounded up to him, and before he could escape, caught him up on his great horns."
joy,"The tailor was looking at the beauty with beating heart, when she suddenly opened her eyes, and started up at the sight of him in joyful terror."
joy,"We loved each other so tenderly, and were so alike in our way of thinking and our inclinations, that we both embraced the resolution never to marry, but to stay together to the end of our lives."
surprise,"As I could not conceive from whence it came, I wanted to summon my waiting-maid who slept in the next room, but to my astonishment I found that speech was taken away from me by an unknown force."
sadness,"I asked him where he had left my brother, and how he had come by this stag, out of whose great eyes I saw tears flowing."
joy,"Amongst the visions which passed before my eyes, that was the most comforting in which a young man came and set me free, and when I opened my eyes to-day I saw thee, and beheld my dream fulfilled."
joy,"Her joy was still more increased when her brother, who had killed the magician in the form of the bull, came out of the forest towards them in his human form, and on the self-same day the maiden, in accordance with her promise, gave her hand at the altar to the lucky tailor."
sadness,"So the father gave him his blessing, and with great sorrow took leave of him."
surprise,"""But dost thou know what thou must promise?"" said the King."
joy,"The King came down himself and opened the door, and there he found both strong and well, and rejoiced with them that now all sorrow was over."
surprise,"He was astonished when he saw them come alone, and asked what had happened to them."
joy,"And the Queen, when she had received the letter and read it, did as was written in it, and had a splendid wedding-feast prepared, and the King""s daughter was married to the luck-child, and as the youth was handsome and agreeable she lived with him in joy and contentment."
surprise,"""Oh!"" cried the devil, ""what are you doing?"""
surprise,"""Oh, ho!"" said the spring, ""then I will begin to flow,"" and began to flow violently."
sadness,"One morning the wood-cutter went out sorrowfully to his work in the forest, and while he was cutting wood, suddenly there stood before him a tall and beautiful woman with a crown of shining stars on her head, who said to him, ""I am the Virgin Mary, mother of the child Jesus."
joy,"In each of them sat one of the Apostles in the midst of a great light, and she rejoiced in all the magnificence and splendour, and the little angels who always accompanied her rejoiced with her."
fear,Immediately a great fear fell on her.
fear,"Her terror too would not quit her, let her do what she might, and her heart beat continually and would not be still; the gold too stayed on her finger, and would not go away, let her rub it and wash it never so much."
sadness,"She wanted to cry out, but she could bring forth no sound."
sadness,"Here, too, she found a shelter from storm and rain, but it was a miserable life, and bitterly did she weep when she remembered how happy she had been in heaven, and how the angels had played with her."
joy,"When the Queen rejoiced thereat, the Virgin Mary said, ""Is thy heart not yet softened?"
fear,"As he now feared that the step-mother might not treat them well, and even do them some injury, he took them to a lonely castle which stood in the midst of a forest."
joy,"Then the maiden looked at them and recognized her brothers, was glad and crept forth from beneath the bed."
joy,"The brothers were not less delighted to see their little sister, but their joy was of short duration."
sadness,"The little sister wept and said, ""Can you not be set free?"""
joy,"Then she saw that her deliverance was near, and her heart leapt with joy."
fear,"The kernel, however, was so large that she could not swallow it, and it remained sticking in her throat, so that she was alarmed lest she should be choked."
sadness,"Then the cock was so distressed that he cried aloud, and every animal came to lament the little hen, and six mice built a little carriage to carry her to her grave, and when the carriage was ready they harnessed themselves to it, and the cock drove."
sadness,"When a stone saw that, it took pity on the little cock, wished to help him, and laid itself over the water."
joy,"This pleased the Lord, and he went in."
joy,"When the cloth was laid, the Lord sat down with the man and his wife, and he enjoyed their coarse food, for there were happy faces at the table."
joy,"""Oh, yes,"" said the man; ""if I can have that, too, I should like it very much."""
surprise,"He was very much astonished, and called his wife and said to her, ""Tell me, what can have happened?"
joy,"So he got nothing by it but vexation, trouble, abuse, and the loss of his horse; but the poor people lived happily, quietly, and piously until their happy death."
joy,"As he was hungry, and saw the food, he, too, place himself at the table, ate with those who were eating and enjoyed it."
fear,"She cried, ""No, no I cannot bear it,"" and opened the other window, because drops of perspiration were running down her forehead."
joy,"And while she was speaking, the child plucked off quite a large apple, and ran to her sisters, saying, ""Just taste, my dear little sisters, for never in my life have I tasted anything so delightful."""
sadness,"Then he was much troubled, and made known to the whole land that whosoever brought his daughters back again should have one of them to wife."
fear,"Then the mannikin screamed terribly, and cried, ""Stop, stop, and let me go, and I will tell thee where the King""s daughters are."""
joy,"The princess sprang up, threw her arms round his neck, embraced and kissed him repeatedly, and took her stomacher, which was made of pure gold, and hung it round his neck."
joy,"And they all rejoiced, and embraced him and kissed him without stopping."
surprise,When the princesses saw him they fainted.
fear,"When the two heard that, they were frightened to death, and ran away in great haste."
sadness,"Hereupon he was much troubled, and asked the old fisherman if that was true?"
sadness,"And now there was no one at home but the daughter, and she mourned for her brothers so much that at last she also begged the fisherman to let her set forth, for she wished to go in search of her brothers."
joy,"She rejoiced much to see them again, and carried them all over the water, and then she too went away, for now she was freed."
joy,"The others, however, went to the old fisherman, and all were glad that they had found each other again, but they hung the bird on the wall."
fear,"Then they were all terrified, and the King took the bird, the fisherman and the three children back with him to the castle, and ordered the prison to be opened and brought his wife out again."
sadness,"Soon afterwards she shut her eyes and died, and was buried in the garden; and the little girl went every day to her grave and wept, and was always good and kind to all about her."
sadness,"Then she took it, and went to her mother""s grave and planted it there; and cried so much that it was watered with her tears; and there it grew and became a fine tree."
sadness,"Then she did as she was told; but when all was done she could not help crying, for she thought to herself, she should so have liked to have gone with them to the ball; and at last she begged her mother very hard to let her go."
joy,"Then Ashputtel brought the dish to her mother, overjoyed at the thought that now she should go to the ball."
joy,"And then Ashputtel took the dishes to her mother, rejoicing to think that she should now go to the ball."
sadness,"Now when all were gone, and nobody left at home, Ashputtel went sorrowfully and sat down under the hazel-tree, and cried out:"
joy,"Then both the sisters were overjoyed to hear it; for they had beautiful feet, and had no doubt that they could wear the golden slipper."
surprise,"Then the prince got down and looked at her foot; and he saw, by the blood that streamed from it, what a trick she had played him."
joy,"And when he drew near and looked at her face he knew her, and said, ""This is the right bride."""
sadness,"Now this king and queen had plenty of money, and plenty of fine clothes to wear, and plenty of good things to eat and drink, and a coach to ride out in every day: but though they had been married many years they had no children, and this grieved them very much indeed."
joy,"Then the queen took pity on the little fish, and threw it back again into the river; and before it swam away it lifted its head out of the water and said, ""I know what your wish is, and it shall be fulfilled, in return for your kindness to me--you will soon have a daughter."""
joy,"What the little fish had foretold soon came to pass; and the queen had a little girl, so very beautiful that the king could not cease looking on it for joy, and said he would hold a great feast and make merry, and show the child to all the land."
fear,"However, the king hoped still to save his dear child altogether from the threatened evil; so he ordered that all the spindles in the kingdom should be bought up and burnt."
joy,"She looked so beautiful that he could not take his eyes off her, so he stooped down and gave her a kiss."
joy,"But the moment he kissed her she opened her eyes and awoke, and smiled upon him; and they went out together; and soon the king and queen also awoke, and all the court, and gazed on each other with great wonder."
joy,"And then the prince and Briar Rose were married, and the wedding feast was given; and they lived happily together all their lives long."
joy,"A certain cat had made the acquaintance of a mouse, and had said so much to her about the great love and friendship she felt for her, that at length the mouse agreed that they should live and keep house together."
joy,"""All went off well,"" answered the cat."
surprise,"""Top off!"" cried the mouse, ""that is a very odd and uncommon name, is it a usual one in your family?"""
joy,"""Nothing ever seems so good as what one keeps to oneself,"" said she, and was quite satisfied with her day""s work."
surprise,"I never heard the name in my life, I""ll wager anything it is not in the calendar!"""
joy,"""When everything is eaten up one has some peace,"" said she to herself, and well filled and fat she did not return home till night."
surprise,"""All-gone,"" cried the mouse ""that is the most suspicious name of all!"
joy,"From this time forth no one invited the cat to be godmother, but when the winter had come and there was no longer anything to be found outside, the mouse thought of their provision, and said: ""Come, cat, we will go to our pot of fat which we have stored up for ourselves--we shall enjoy that."""
surprise,"""Alas!"" said the mouse, ""now I see what has happened, now it comes to light!"
surprise,You a true friend!
sadness,"But this beautiful queen fell ill, and when she felt that her end drew near she called the king to her and said, ""Promise me that you will never marry again, unless you meet with a wife who is as beautiful as I am, and who has golden hair like mine."""
sadness,"Then when the king in his grief promised all she asked, she shut her eyes and died."
sadness,"But the king was not to be comforted, and for a long time never thought of taking another wife."
surprise,"When the courtiers heard this they were shocked, and said, ""Heaven forbid that a father should marry his daughter!"
surprise,"And his daughter was also shocked, but hoped the king would soon give up such thoughts; so she said to him, ""Before I marry anyone I must have three dresses: one must be of gold, like the sun; another must be of shining silver, like the moon; and a third must be dazzling as the stars: besides this, I want a mantle of a thousand different kinds of fur put together, to which every beast in the kingdom must give a part of his skin."""
fear,"Then she threw herself upon Heaven for help in her need, and went away, and journeyed on the whole night, till at last she came to a large wood."
surprise,"""Look sharp!"" said the king to the huntsmen, ""and see what sort of game lies there."""
surprise,"And the huntsmen went up to the tree, and when they came back again said, ""In the hollow tree there lies a most wonderful beast, such as we never saw before; its skin seems to be of a thousand kinds of fur, but there it lies fast asleep."""
fear,"So the huntsmen took it up, and the maiden awoke and was greatly frightened, and said, ""I am a poor child that has neither father nor mother left; have pity on me and take me with you."""
sadness,Thus Cat-skin lived for a long time very sorrowfully.
joy,"But the king came up to her, and held out his hand and danced with her; and he thought in his heart, ""I never saw any one half so beautiful."""
joy,"When the dance was over, the king ordered his soup to be brought in; and it pleased him so well, that he thought he had never tasted any so good before."
fear,"The cook was frightened when he heard the order, and said to Cat-skin, ""You must have let a hair fall into the soup; if it be so, you will have a good beating."""
joy,"Then she ran to her little cabin, washed herself quickly, and took her dress out which was silvery as the moon, and put it on; and when she went in, looking like a king""s daughter, the king went up to her, and rejoiced at seeing her again, and when the dance began he danced with her."
joy,"Whilst the cook was above stairs, she got the golden necklace and dropped it into the soup; then it was brought to the king, who ate it, and it pleased him as well as before; so he sent for the cook, who was again forced to tell him that Cat-skin had cooked it."
joy,"Then she put on her dress which sparkled like the stars, and went into the ball-room in it; and the king danced with her again, and thought she had never looked so beautiful as she did then."
joy,"But the king said, ""You are my beloved bride, and we will never more be parted from each other."""
joy,"And the wedding feast was held, and a merry day it was, as ever was heard of or seen in that country, or indeed in any other."
sadness,"Then said the maid: ""What a clever Elsie we have!"" and sat down beside her and began loudly to weep over the misfortune."
sadness,"The boy went down, and there sat Clever Elsie and the girl both weeping together."
sadness,"Then said the boy: ""What a clever Elsie we have!"" and sat down by her, and likewise began to howl loudly."
sadness,"Then said the mother likewise: ""What a clever Elsie we have!"" and sat down and wept with them."
sadness,"But when he got into the cellar, and they were all sitting together crying, and he heard the reason, and that Elsie""s child was the cause, and the Elsie might perhaps bring one into the world some day, and that he might be killed by the pick-axe, if he should happen to be sitting beneath it, drawing beer just at the very time when it fell down, he cried: ""Oh, what a clever Elsie!"" and sat down, and likewise wept with them."
joy,"There was once a cook named Gretel, who wore shoes with red heels, and when she walked out with them on, she turned herself this way and that, was quite happy and thought: ""You certainly are a pretty girl!"""
joy,"And when she came home she drank, in her gladness of heart, a draught of wine, and as wine excites a desire to eat, she tasted the best of whatever she was cooking until she was satisfied, and said: ""The cook must know what the food is like."""
sadness,"Then Gretel called out to her master: ""If the guest does not come, I must take the fowls away from the fire, but it will be a sin and a shame if they are not eaten the moment they are at their juiciest."""
joy,"She ran down, set a jug, said: ""God bless it for you, Gretel,"" and took a good drink, and thought that wine should flow on, and should not be interrupted, and took yet another hearty draught."
joy,"Then she went and put the fowls down again to the fire, basted them, and drove the spit merrily round."
joy,"She touched it with her finger, and said: ""Ah! how good fowls are!"
sadness,"It certainly is a sin and a shame that they are not eaten at the right time!"""
joy,"So she cut it off, ate it, and enjoyed it, and when she had done, she thought: ""The other must go down too, or else master will observe that something is missing."""
joy,"Then she said: ""Well, Gretel, enjoy yourself, one fowl has been cut into, take another drink, and eat it up entirely; when it is eaten you will have some peace, why should God""s good gifts be spoilt?"""
joy,"So she ran into the cellar again, took an enormous drink and ate up the one chicken in great glee."
fear,"The guest heard the sharpening, and hurried down the steps again as fast as he could."
surprise,"""Why, Gretel?"
surprise,"What do you mean by that?"""
sadness,"""That""s a nice trick!"" said her master, and lamented the fine chickens."
sadness,"""If he had but left me one, so that something remained for me to eat."""
fear,"The guest, however, thought no otherwise than that he was to give up one of his ears, and ran as if fire were burning under him, in order to take them both with him."
fear,"The servant, however, thought he intended by that to say: ""That is the first thief,"" and as he actually was so, he was terrified, and said to his comrade outside: ""The doctor knows all: we shall fare ill, he said I was the first."""
fear,"The second did not want to go in at all, but was forced."
fear,"This servant was equally alarmed, and he got out as fast as he could."
fear,"On this the servants looked terribly uneasy, and made a sign to the doctor that they wished him to step outside for a moment."
fear,"Then the fellow in the stove thought that the doctor meant him, and full of terror, sprang out, crying: ""That man knows everything!"""
sadness,"""She is sitting in her room, Moaning in her gloom, Weeping her little eyes quite red, Because old Mr Fox is dead."""
joy,"So when Frederick and Catherine came down, there they found all their money safe and sound."
fear,"Last night, old Sanna carried so many buckets of water into the house that I asked her why she was doing that, and she said that if I would promise not to tell anyone, and she said that early tomorrow morning when father was out hunting, she would set the kettle full of water, throw you into it and boil you; but we will get up quickly, dress ourselves, and go away together."""
joy,"Then the children went home together, and were heartily delighted, and if they have not died, they are living still."
sadness,"He had little to bite and to break, and once when great dearth fell on the land, he could no longer procure even daily bread."
sadness,"Now when he thought over this by night in his bed, and tossed about in his anxiety, he groaned and said to his wife: ""What is to become of us?"
sadness,"How are we to feed our poor children, when we no longer have anything even for ourselves?"""
sadness,"""But I feel very sorry for the poor children, all the same,"" said the man."
sadness,"Gretel wept bitter tears, and said to Hansel: ""Now all is over with us."""
sadness,"Gretel began to cry and said: ""How are we to get out of the forest now?"""
joy,"The father, however, rejoiced, for it had cut him to the heart to leave them behind alone."
sadness,"The man""s heart was heavy, and he thought: ""It would be better for you to share the last mouthful with your children."""
surprise,"And when its song was over, it spread its wings and flew away before them, and they followed it until they reached a little house, on the roof of which it alighted; and when they approached the little house they saw that it was built of bread and covered with cakes, but that the windows were of clear sugar."
fear,Hansel and Gretel were so terribly frightened that they let fall what they had in their hands.
joy,"Afterwards two pretty little beds were covered with clean white linen, and Hansel and Gretel lay down in them, and thought they were in heaven."
fear,"Scream as he might, it would not help him."
sadness,"""Dear God, do help us,"" she cried."
sadness,"""If the wild beasts in the forest had but devoured us, we should at any rate have died together."""
surprise,"Then Gretel gave her a push that drove her far into it, and shut the iron door, and fastened the bolt."
joy,"How they did rejoice and embrace each other, and dance about and kiss each other!"
joy,"Then they began to run, rushed into the parlour, and threw themselves round their father""s neck."
joy,"Then all anxiety was at an end, and they lived together in perfect happiness."
joy,"Hans was delighted as he sat on the horse, drew himself up, squared his elbows, turned out his toes, cracked his whip, and rode merrily off, one minute whistling a merry tune, and another singing,"
joy,"""No care and no sorrow, A fig for the morrow!"
joy,"We""ll laugh and be merry, Sing neigh down derry!"""
surprise,"Away went the horse full gallop; and before Hans knew what he was about, he was thrown off, and lay on his back by the road-side."
joy,"""Well,"" said the shepherd, ""if you are so fond of her, I will change my cow for your horse; I like to do good to my neighbours, even though I lose by it myself."""
joy,"""What a noble heart that good man has!"" thought he."
joy,"Hans brushed his coat, wiped his face and hands, rested a while, and then drove off his cow quietly, and thought his bargain a very lucky one."
joy,"""If I have only a piece of bread (and I certainly shall always be able to get that), I can, whenever I like, eat my butter and cheese with it; and when I am thirsty I can milk my cow and drink the milk: and what can I wish for more?"""
surprise,"While he was trying his luck in milking, and managing the matter very clumsily, the uneasy beast began to think him very troublesome; and at last gave him such a kick on the head as knocked him down; and there he lay a long while senseless."
joy,"""Heaven reward you for your kindness and self-denial!"" said Hans, as he gave the butcher the cow; and taking the pig off the wheel-barrow, drove it away, holding it by the string that was tied to its leg."
joy,"So on he jogged, and all seemed now to go right with him: he had met with some misfortunes, to be sure; but he was now well repaid for all."
joy,"The countryman stopped to ask what was o""clock; this led to further chat; and Hans told him all his luck, how he had so many good bargains, and how all the world went gay and smiling with him."
joy,"Then he took the string in his hand, and drove off the pig by a side path; while Hans went on the way homewards free from care."
joy,"""After all,"" thought he, ""that chap is pretty well taken in."
joy,How happy my mother will be!
joy,"Talk of a pig, indeed!"
joy,"Give me a fine fat goose."""
joy,"""O""er hill and o""er dale So happy I roam, Work light and live well, All the world is my home; Then who so blythe, so merry as I?"""
joy,"Hans stood looking on for a while, and at last said, ""You must be well off, master grinder! you seem so happy at your work."""
joy,"""Yes,"" said the other, ""mine is a golden trade; a good grinder never puts his hand into his pocket without finding money in it--but where did you get that beautiful goose?"""
joy,"""How can you ask?"" said Hans; ""I should be the happiest man in the world, if I could have money whenever I put my hand in my pocket: what could I want more? there""s the goose."""
joy,"Hans took the stone, and went his way with a light heart: his eyes sparkled for joy, and he said to himself, ""Surely I must have been born in a lucky hour; everything I could want or wish for comes of itself."
